z,value,quantity
0.15,4.47,DV_over_rs
0.38,10.23406,DM_over_rs
0.38,24.98058,DH_over_rs
0.51,13.36595,DM_over_rs
0.51,22.31656,DH_over_rs
0.698,17.85823691865007,DM_over_rs
0.698,19.32575373059217,DH_over_rs
0.845,18.33,DV_over_rs
1.48,30.6876,DM_over_rs
1.48,13.2609,DH_over_rs
2.334,37.652638525161024,DM_over_rs
2.334,8.92527360530729,DH_over_rs
2.334,37.54050803658231,DM_over_rs
2.334,9.078583224792535,DH_over_rs
