z,mu_residual,mu_err,mu
0.05,0.02996137413621947,0.02875972857131808,36.76455177
0.10,0.05624087725942778,0.02561968489233833,38.37144545
0.15,0.002419924470370539,0.02460059273072857,39.26839268
0.20,0.02164639855519318,0.022522951376187567,39.97792719
0.25,-0.02918546505442704,0.022540333153608306,40.47296927
0.30,0.0027931695136692615,0.022490075190151376,40.95825321
0.35,-0.00030750869009829634,0.02332949284148068,41.3436903
0.40,0.03264174474486506,0.026058086299183048,41.71710548
0.45,-0.014232879157042235,0.025977883113167205,41.97347137
0.50,0.013281339309037883,0.026771521776701224,42.27446676
0.55,0.0031190537602792607,0.029033889434983553,42.51339893
0.60,0.007478822510179949,0.029290841710328558,42.74647102
0.65,-0.013337624630091218,0.03333976301704356,42.93705601
0.70,-0.0548945914995692,0.03682333698076401,43.09200121
0.75,-0.050439857426011966,0.03589038247789237,43.27999018
0.80,-0.019208270938444932,0.03664313664493184,43.48336101
0.8981381957937741,-0.02335682376889149,0.048382013943141636,43.78874352
0.9962763915875482,0.07499554496859276,0.05233130224794356,44.16521885
1.0944145873813222,-0.061315535361877185,0.0856861952667218,44.28123234
1.2322444451875212,0.06680753442650823,0.07336194789889894,44.72808739
1.3909612548337513,0.017663411513548867,0.0678431863679382,45.00430858
2.2622599999999995,-0.15094687450850644,0.3398514479691815,46.1330136
